term,category,meaning,register,emotion,use_when,respelling_en,ipa_phonemic,ipa_phonetic,jp_kana,origin,language,pitch_semitones,pace_wpm,energy,breathiness,intonation,voice_style_tags,triggers_regex
uwu,Interjection,soft cute emotion,cute,tender,affection,,,,,community slang,mixed,3,170,0.6,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\buwu\b
kawaii,AnimeJP,cute/adorable,cute,joy,praise|compliment,kah-wah-EE,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bkawaii\b
*headpats*,Interjection,action text headpats,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\*headpats\*
*peek*,Interjection,action text peek,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\*peek\*
based,GenZ,confidently true/cool,edgy,proud,approval,,,,,community slang,auto,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bbased\b
(￣▽￣)ゞ,Emoji/Kaomoji,salute sheepish,playful,cheeky,oops,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\(￣▽￣\)ゞ
😰,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,😰
outplay,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\boutplay\b
btw,GenZ,by the way,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bbtw\b
meta,GenZ,current dominant strategy,neutral,calm,gaming,,,,,community slang,auto,0,155,0.5,0.2,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bmeta\b
GFE,VTuber,girlfriend-experience vibe,flirty,tender,roleplay,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bGFE\b
on god,GenZ,I swear/serious,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bon\ god\b
ngl,GenZ,not gonna lie,neutral,candid,preface,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bngl\b
big yikes,GenZ,major cringe,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bbig\ yikes\b
fr fr,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bfr\ fr\b
sugoi,AnimeJP,amazing/wow,cute,surprise,hype|compliment,soo-GOY,,,,community slang,ja,3,200,0.9,0.4,peaky-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsugoi\b
😈,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,😈
LUL,TwitchEmote,laugh,playful,joy,laugh,,,,,community slang,auto,0,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bLUL\b
gochisousama,AnimeJP,thanks for the meal,wholesome,gratitude,,,,,,community slang,ja,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bgochisousama\b
🌸,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,🌸
(ᗒᗩᗕ),Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\(ᗒᗩᗕ\)
overlay,VTuber,vtuber/community term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\boverlay\b
😱,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,😱
🎉,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,🎉
oshi no ko,VTuber,lit. 'my fave's child' (title ref),playful,fond,anime_ref,,,,,community slang,ja,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\boshi\ no\ ko\b
onii-chan,AnimeJP,big brother (playful address),cute,shy,tease|address,oh-NEE chan,,,,community slang,ja,3,160,0.4,0.4,short-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,onii\-chan
missed me?,Phrase,flirty reentry,flirty,smug,return,,,,,community slang,auto,0,170,0.6,0.2,fall-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,missed\ me\?
bruh,GenZ,exasperation,deadpan,tired,sigh,,,,,community slang,auto,-2,170,0.6,0.1,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bbruh\b
blorbo,GenZ,beloved character,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bblorbo\b
tilt,GenZ,frustrated play spiral,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\btilt\b
bb,GenZ,babe/baby,flirty,fond,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bbb\b
bae,GenZ,significant other,flirty,fond,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bbae\b
redebut,VTuber,new model return,hype,joy,milestone,,,,,community slang,auto,2,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bredebut\b
saucy,GenZ,suggestive tone,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsaucy\b
smurf,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsmurf\b
queue dodge,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bqueue\ dodge\b
FeelsBadMan,TwitchEmote,sad/disappointed,wholesome,sad,loss,,,,,community slang,auto,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bFeelsBadMan\b
oshi-katsu,VTuber,supporting your fave,wholesome,proud,fandom,,,,,community slang,ja,1,185,0.75,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,oshi\-katsu
oyasumi,AnimeJP,good night,wholesome,tender,farewell,oh-yah-SOO-mee,,,,community slang,ja,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\boyasumi\b
mama / papa,VTuber,model artist/rigger,wholesome,gratitude,credits,,,,,community slang,auto,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\b(mama|papa)\b
ate my brain,GenZ,consumed attention,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bate\ my\ brain\b
no kizzy,GenZ,no lie,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bno\ kizzy\b
Pepega,TwitchEmote,foolish/dumb,playful,teasing,oops,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bPepega\b
gaslight,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bgaslight\b
💤,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,💤
uwuify,GenZ,make text cutesy,playful,joy,,,,,,community slang,auto,0,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\buwuify\b
smol bean,GenZ,extra cute person,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsmol\ bean\b
tracking,VTuber,face/body capture,neutral,calm,,,,,,community slang,auto,0,155,0.5,0.2,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\btracking\b
heckin,GenZ,emphasis wholesome,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bheckin\b
drip,GenZ,stylish outfit,playful,admire,fashion,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bdrip\b
*hiss*,Interjection,action text hiss,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\*hiss\*
one tap,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bone\ tap\b
yeet,GenZ,throw/energized exclaim,hype,joy,play,,,,,community slang,auto,2,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\byeet\b
(╯°□°）╯︵ ┻━┻,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\(╯°□°）╯︵\ ┻━┻
📢,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,📢
PepeLaugh,TwitchEmote,giggly laugh,playful,joy,banter,,,,,community slang,auto,0,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bPepeLaugh\b
bakabaka,AnimeJP,double baka (cute),teasing,teasing,,,,,,community slang,ja,1,170,0.6,0.35,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bbakabaka\b
main character,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bmain\ character\b
sweetie,GenZ,sweet nickname,cute,fond,,,,,,community slang,auto,3,170,0.6,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsweetie\b
father,GenZ,iconic man praise,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bfather\b
bussin,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bbussin\b
ate that,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bate\ that\b
🤯,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,🤯
jk,GenZ,just kidding,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bjk\b
ick,GenZ,turn-off detail,edgy,disgust,dating,,,,,community slang,auto,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bick\b
graduation,VTuber,retirement from avatar,wholesome,melancholy,farewell,,,,,community slang,auto,1,150,0.35,0.25,flat-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bgraduation\b
simp,GenZ,overly doting admirer,teasing,fond,banter,,,,,community slang,auto,1,170,0.6,0.35,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsimp\b
baby girl era,GenZ,soft self-care phase,playful,fond,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bbaby\ girl\ era\b
EZ clap,GenZ,easy win flex,edgy,smug,taunt,,,,,community slang,auto,-1,170,0.6,0.15,fall-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bEZ\ clap\b
stream snipe,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bstream\ snipe\b
hopium,GenZ,irrational hope fuel,playful,hopeful,waiting,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bhopium\b
8888,AnimeJP,clap/applause in JP chat,hype,proud,applause,hachi-hachi-hachi-hachi,,,,community slang,ja,2,185,0.75,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\b8888\b
owo,Interjection,surprised cute,cute,surprise,shock,,,,,community slang,mixed,3,200,0.9,0.4,peaky-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bowo\b
ping,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bping\b
afaik,GenZ,as far as I know,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bafaik\b
(づ｡◕‿‿◕｡)づ,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\(づ｡◕‿‿◕｡\)づ
sus,GenZ,suspicious,playful,doubt,banter,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsus\b
💀,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,💀
erai,AnimeJP,great of you,wholesome,proud,,,,,,community slang,ja,1,185,0.75,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\berai\b
😮‍💨,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,😮‍💨
(｡•̀ᴗ-)✧,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\(｡•̀ᴗ\-\)✧
*nuzzle*,Interjection,action text nose rub,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\*nuzzle\*
ratio,GenZ,dunk via replies,edgy,smug,banter,,,,,community slang,auto,-1,170,0.6,0.15,fall-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bratio\b
😇,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,😇
egirl,GenZ,online alt-girl vibe,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\begirl\b
guerilla stream,VTuber,unplanned surprise stream,playful,spontaneous,surprise,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bguerilla\ stream\b
beta,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bbeta\b
down bad,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bdown\ bad\b
clutch,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bclutch\b
stan,GenZ,intense fan,neutral,fond,fandom,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bstan\b
delish,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bdelish\b
green flag,GenZ,good sign,wholesome,hopeful,dating,,,,,community slang,auto,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bgreen\ flag\b
pat pat,Interjection,headpats,cute,comfort,comfort,,,,,community slang,auto,3,170,0.6,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bpat\ pat\b
(>_<),Emoji/Kaomoji,pained face kaomoji,cute,frustrated,fail,,,,,community slang,auto,3,170,0.6,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\(>_<\)
cringe,GenZ,awkward/embarrassing,edgy,disgust,disapproval,,,,,community slang,auto,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bcringe\b
✨,Emoji/Kaomoji,sparkle emphasis,cute,joy,compliment,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,✨
solulu,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsolulu\b
kira kira,AnimeJP,sparkly,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bkira\ kira\b
donothon,VTuber,vtuber/community term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bdonothon\b
zatsu,VTuber,vtuber/community term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bzatsu\b
seiso arc,VTuber,period of being wholesome,wholesome,calm,rebrand,,,,,community slang,auto,1,155,0.5,0.25,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bseiso\ arc\b
tilted,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\btilted\b
⚡,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,⚡
int,GenZ,intentionally feed (moba),edgy,disapproval,gaming,,,,,community slang,auto,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bint\b
copium,GenZ,cope fuel,edgy,salty,loss,,,,,community slang,auto,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bcopium\b
slaps,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bslaps\b
otsu / otsukare,AnimeJP,thanks for the hard work,wholesome,gratitude,farewell|end_stream,OHTS-kah-reh,,,,community slang,ja,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\b(otsu|otsukare)\b
utawaku,VTuber,singing karaoke stream,hype,joy,sing,,,,,community slang,auto,2,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\butawaku\b
😏,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,😏
delulu,GenZ,delusional but cute,teasing,playful,banter,,,,,community slang,auto,1,170,0.6,0.35,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bdelulu\b
wdym,GenZ,what do you mean,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bwdym\b
🥺👉👈,Emoji/Kaomoji,shy pleading,cute,shy,request,,,,,community slang,auto,3,160,0.4,0.4,short-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,🥺👉👈
queen behavior,GenZ,confident excellence,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bqueen\ behavior\b
yabai,AnimeJP,oh no/too spicy/crazy,edgy,alarm,oops|tease,yah-BAI,/jəˈbaɪ/,[jaˈbai],やばい,JP slang,ja,-1,170,0.6,0.15,rise-fall,seiso_sweetheart|tsundere_tease|oneesan_sultry,\byabai\b
buff,GenZ,strengthen in patch,neutral,calm,gaming,,,,,community slang,auto,0,155,0.5,0.2,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bbuff\b
proud of u,Phrase,support praise,wholesome,proud,support,,,,,community slang,auto,1,185,0.75,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bproud\ of\ u\b
akasupa,VTuber,red superchat (large),wholesome,gratitude,donation,,,,,community slang,auto,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bakasupa\b
（＾ω＾）,Emoji/Kaomoji,happy face,cute,joy,greet,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,（＾ω＾）
PogChamp,TwitchEmote,hype/surprise,hype,surprise,clutch,,,,,community slang,auto,2,200,0.9,0.2,peaky-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bPogChamp\b
*purr*,Interjection,action text purr,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\*purr\*
kowai,AnimeJP,scary,neutral,fear,,,,,,community slang,ja,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bkowai\b
🔥,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,🔥
sumimasen,AnimeJP,sorry/excuse me (polite),wholesome,apology,apology,soo-mee-mah-SEN,,,,community slang,ja,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsumimasen\b
fit,GenZ,outfit,neutral,calm,fashion,,,,,community slang,auto,0,155,0.5,0.2,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bfit\b
core,GenZ,style suffix,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bcore\b
grr,Interjection,tiny growl,cute,teasing,tease,,,,,community slang,auto,3,170,0.6,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bgrr\b
eep,Interjection,tiny yelp,cute,surprise,shock,,,,,community slang,auto,3,200,0.9,0.4,peaky-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\beep\b
clipper,VTuber,edits highlights,neutral,calm,credits,,,,,community slang,auto,0,155,0.5,0.2,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bclipper\b
bestie,GenZ,friendly address,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bbestie\b
micro,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bmicro\b
patch,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bpatch\b
teehee,Interjection,girlish giggle,cute,joy,banter,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bteehee\b
🌟,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,🌟
main character energy,GenZ,dramatic confidence,playful,proud,cheer,,,,,community slang,auto,0,185,0.75,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bmain\ character\ energy\b
Kappa,TwitchEmote,sarcasm/jk,playful,smug,sarcasm,,,,,community slang,auto,0,170,0.6,0.2,fall-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bKappa\b
gg go next,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bgg\ go\ next\b
